MAJOR CLADE,No.REF,ORDER,FAMILY,NODE,SRB_topology,FAMILY,TOPO,mean,min,max,Reference,
CHLORANTHALES,59,CHLORANTHALES,3,Chloranthaceae,784,1,,,98,121,Bell et al. 2010,
MAGNOLIIDS,60,,2,Magnoliids,785,1,,,125.7,134.5,Moore et al. 2007,
MAGNOLIIDS,61,,2,Magnoliids,785,1,,122,108,138,Bell et al. 2010,
MAGNOLIIDS,62,,2,Magnoliids,785,1,,125,121,130,Bell et al. 2010,
MAGNOLIIDS,63,,2,Magnoliids,785,1,,,198.2,201.7,Magall??n & Castillo 2009,
MAGNOLIIDS,64,,2,Magnoliids,785,1,,,127.7,128,Magall??n & Castillo 2009,
MAGNOLIIDS,65,,2,Magnoliids,785,1,,149,,,Foster et al. 2016a,
MAGNOLIIDS,66,,2,Magnoliids,785,1,,155,136,181,Smith et al. 2010,
MAGNOLIIDS,67,,2,Magnoliids,785,1,,163,138,198,Smith et al. 2010,
MAGNOLIIDS,68,,2,Magnoliids,785,1,,133.1,,,Naumann et al. 2013,
MAGNOLIIDS,69,,2,Magnoliids,785,1,,116,89,144,N. Zhang et al. 2012,
MAGNOLIIDS,70,,2,Magnoliids,785,1,,117.3,39.1,152.7,Xue et al. 2012,
MAGNOLIIDS,71,,2,Magnoliids,785,1,,146,,,Tank et al. 2015,
MAGNOLIIDS,72,,2,Magnoliids,785,1,,143,131,155,Wikstr??m et al. 2001,
MAGNOLIIDS,73,,2,Magnoliids,785,1,,145.15,128.5,167.2,Magall??n et al. 2013,
MAGNOLIIDS,74,,2,Magnoliids,785,1,,186,,,Z. Wu et al. 2014,
MAGNOLIIDS,75,,2,Magnoliids,785,1,,147,,,Zanne et al. 2014,
MAGNOLIIDS,76,,2,Magnoliids,785,1,,132.4,,,Magall??n et al. 2015,
MAGNOLIIDS,77,,2,Magnoliids,785,1,,152,34,180,Zeng et al. 2014,
MAGNOLIIDS,78,,2,Magnoliids,785,1,,150.85,126.8,178.8,Massoni et al. 2015a,
MAGNOLIIDS,79,,2,Magnoliales + Laurales,786,,,,127.7,198.2,Magall??n & Castillo 2009,
MAGNOLIIDS,80,,2,Magnoliales + Laurales,786,,,138,,,Foster et al. 2016a,
MAGNOLIIDS,81,,2,Magnoliales + Laurales,786,,,137.2,,,Magall??n et al. 2013,
MAGNOLIIDS,82,,2,Magnoliales + Laurales,786,,,126.4,,,Naumann et al. 2013,
MAGNOLIIDS,83,,2,Magnoliales + Laurales,786,,,127.7,,,Magall??n et al. 2015,
MAGNOLIIDS,84,,2,Magnoliales + Laurales,786,,,104.5,,,Xue et al. 2012,
MAGNOLIIDS,85,,2,Magnoliales + Laurales,786,,,126.9,,,Tank et al. 2015,
MAGNOLIIDS,86,,2,Magnoliales + Laurales,786,,,148.1,121.3,176.8,Massoni et al. 2015a,
MAGNOLIIDS,87,MAGNOLIALES,2,Magnoliales,799,1,,,116.6,171.5,Magall??n & Castillo 2009,
MAGNOLIIDS,88,MAGNOLIALES,2,Magnoliales,799,1,,72.5,50,96,Bell et al. 2010,
MAGNOLIIDS,89,MAGNOLIALES,2,Magnoliales,799,1,,110.5,102,119,Wikstr??m et al. 2001,
MAGNOLIIDS,90,MAGNOLIALES,2,Magnoliales,799,1,,137.05,116,164.1,Massoni et al. 2015a,
MAGNOLIIDS,91,MAGNOLIALES,2,Myristicaceae,799,1,,,15,21,Doyle et al. 2004,
MAGNOLIIDS,92,MAGNOLIALES,2,Myristicaceae,799,1,,23.2,10.2,51.5,Massoni et al. 2015a,
MAGNOLIIDS,93,MAGNOLIALES,2,Magnoliaceae [[Degeneriaceae + Himantandraceae] [Eupomatiaceae + Annonaceae]],800,,!TOPO,,110,120,Doyle et al. 2004,
MAGNOLIIDS,94,MAGNOLIALES,2,Magnoliaceae [[Degeneriaceae + Himantandraceae] [Eupomatiaceae + Annonaceae]],800,,!TOPO,99,90,108,Wikstr??m et al. 2001,
MAGNOLIIDS,95,MAGNOLIALES,2,Magnoliaceae [[Degeneriaceae + Himantandraceae] [Eupomatiaceae + Annonaceae]],800,,!TOPO,102,98,106,Su & Saunders 2009,
MAGNOLIIDS,96,MAGNOLIALES,2,Magnoliaceae [[Degeneriaceae + Himantandraceae] [Eupomatiaceae + Annonaceae]],800,,!TOPO,114.8,,,Naumann et al. 2013,
MAGNOLIIDS,97,MAGNOLIALES,2,Magnoliaceae [[Degeneriaceae + Himantandraceae] [Eupomatiaceae + Annonaceae]],800,,!TOPO,71.1,,,Magall??n et al. 2013,
MAGNOLIIDS,98,MAGNOLIALES,2,Magnoliaceae,805,1,,34.5,17,54,Bell et al. 2010,
MAGNOLIIDS,99,MAGNOLIALES,2,Magnoliaceae,805,1,,74.5,63,86,Wikstr??m et al. 2001,
MAGNOLIIDS,100,MAGNOLIALES,2,Magnoliaceae,805,1,,63.9,5.7,115.1,Massoni et al. 2015a,
MAGNOLIIDS,101,MAGNOLIALES,2,[Degeneriaceae + Himantandraceae] [Eupomatiaceae + Annonaceae],806,,,92.5,,,Tank et al. 2015,
MAGNOLIIDS,102,MAGNOLIALES,2,[Degeneriaceae + Himantandraceae],806,,,40,22,59,Bell et al. 2010,
